AcresBurned,AdminUnit,ArchiveYear,Counties,CrewsInvolved,Engines,Extinguished,Fatalities,Helicopters,Injuries,Latitude,Longitude,PersonnelInvolved,Started,StructuresDamaged,StructuresDestroyed,Updated,WaterTenders
24251,Ventura County Fire/CAL FIRE,2013,Ventura,47,117,2013-05-11T06:30:00Z,,11,10,0,0,2167,2013-05-02T07:01:00Z,6,10,2013-05-11T06:30:00Z,11
20292,CAL FIRE Riverside Unit / San Bernardino National Forest,2013,Riverside,63,201,2013-08-12T18:00:00Z,,20,26,33.86157,-116.90427,2106,2013-08-07T14:05:00Z,8,40,2013-08-12T18:00:00Z,20
11429,CAL FIRE Tehama-Glenn Unit,2013,Tehama,30,36,2013-08-29T16:45:00Z,,5,5,40.04263,-121.85397,898,2013-08-23T14:15:00Z,,,2013-08-29T16:45:00Z,8
8073,CAL FIRE Shasta-Trinity Unit,2013,Shasta,12,30,2013-09-15T07:30:00Z,,,6,40.498332,-122.535496,342,2013-09-09T12:32:00Z,10,201,2013-09-15T07:30:00Z,
7055,CAL FIRE San Diego Unit / Cleveland National Forest,2013,San Diego,56,183,2013-07-15T06:15:00Z,,9,12,32.95435,-116.47381,2147,2013-07-06T12:55:00Z,9,149,2013-07-15T06:15:00Z,24
6965,CAL FIRE Butte Unit,2013,Tehama,53,131,2013-05-09T09:00:00Z,,6,6,40.190062,-121.595555,1811,2013-05-01T09:12:00Z,,,2013-05-09T09:00:00Z,40
4346,CAL FIRE / USFS Los Padres National Forest,2013,Kern,29,34,2013-05-21T19:45:00Z,,1,4,34.7861,-118.9411,847,2013-05-15T12:50:00Z,,,2013-05-21T19:45:00Z,12
4346,CAL FIRE / USFS Los Padres National Forest,2013,Ventura,29,34,2013-05-21T19:45:00Z,,1,4,34.7861,-118.9411,847,2013-05-15T12:50:00Z,,,2013-05-21T19:45:00Z,12
3505,CAL FIRE Sonoma-Lake-Napa Unit,2013,Sonoma,8,5,2013-11-27T18:15:00Z,,,6,38.8167,-122.8498,188,2013-11-22T02:04:00Z,,1,2013-11-27T18:15:00Z,
3166,CAL FIRE/Riverside County Fire ,2013,Riverside,36,62,2013-05-04T18:30:00Z,,5,2,34.288877,-116.941311,726,2013-05-01T12:38:00Z,,1,2013-05-04T18:30:00Z,7
3111,CAL FIRE Santa-Clara Unit,2013,Contra Costa,8,3,2013-09-14T17:30:00Z,,,,37.90757,-121.882582,231,2013-09-08T13:08:00Z,,,2013-09-14T17:30:00Z,4
2781,CAL FIRE San Diego Unit,2013,San Diego,33,73,2013-05-26T17:45:00Z,,25,5,33.12111,-116.52579,911,2013-05-23T12:20:00Z,,,2013-05-26T17:45:00Z,26
2462,CAL FIRE Butte Unit,2013,Butte,33,95,2013-08-22T18:00:00Z,,20,5,39.446268,-121.38236,1484,2013-08-16T16:37:00Z,,7,2013-08-22T18:00:00Z,25
1708,CAL FIRE Madera-Mariposa-Merced Unit / Sierra National Forest ,2013,Mariposa,2,,2013-06-26T11:15:00Z,,,1,37.58202,-119.91071,112,2013-06-16T14:12:00Z,,,2013-06-26T11:15:00Z,4
1271,CAL FIRE San Diego Unit,2013,San Diego,54,42,2013-05-31T06:15:00Z,,27,6,33.04458,-116.5209,1217,2013-05-26T12:04:00Z,,,2013-05-31T06:15:00Z,27
712,CAL FIRE / Kern County Fire / State Parks / US Forest Service,2013,Kern,20,37,2013-07-22T18:45:00Z,,20,5,34.882,-118.9194,502,2013-07-19T12:00:00Z,,,2013-07-22T18:45:00Z,20
534,CAL FIRE San Bernardino Unit/ City of Redlands/San Bernardino Sheriff,2013,San Bernardino,29,29,2013-07-01T06:00:00Z,,29,,34.071556,-117.048397,282,2013-06-28T14:30:00Z,1,0,2013-07-01T06:00:00Z,29
406,CAL FIRE San Bernardino Unit,2013,Inyo,25,25,2013-02-28T20:00:00Z,,,2,36.602575,-118.01651,476,2013-02-24T08:16:00Z,,0,2013-02-28T20:00:00Z,25
305,CAL FIRE Butte Unit,2013,Butte,4,15,2013-10-05T22:00:00Z,,1,,39.439,-121.497,259,2013-10-04T17:37:00Z,,4,2013-10-05T22:00:00Z,3
298,CAL FIRE Butte Unit,2013,Butte,3,26,2013-06-03T20:00:00Z,,2,,39.434183,-121.576804,,2013-06-03T13:49:00Z,,9,2013-06-03T20:00:00Z,4
263,CAL FIRE San Diego Unit / Cleveland National Forest,2013,San Diego,4,15,2013-09-12T18:15:00Z,,1,2,32.710918,-116.746023,294,2013-09-09T13:09:00Z,,,2013-09-12T18:15:00Z,4
217,CAL FIRE Tehama-Glenn Unit,2013,Glenn,11,6,2013-05-05T18:00:00Z,,5,,39.514139,-122.560862,221,2013-05-01T19:00:00Z,,,2013-05-05T18:00:00Z,5
196,CAL FIRE Shasta Unit ,2013,Shasta,24,31,2013-08-23T19:15:00Z,,24,,40.5445,-121.3754,347,2013-08-19T17:48:00Z,,,2013-08-23T19:15:00Z,24
190,CAL FIRE Sonoma-Lake-Napa Unit,2013,Napa,6,15,2013-11-23T18:30:00Z,,,,38.382,-122.311,150,2013-11-21T21:39:00Z,,1,2013-11-23T18:30:00Z,3
125,CAL FIRE Sonoma-Lake-Napa Unit,2013,Sonoma,9,17,2013-05-03T06:15:00Z,,5,,38.638828,-122.655616,249,2013-05-01T02:01:00Z,,,2013-05-03T06:15:00Z,5
120,CAL FIRE Sonoma-Lake-Napa Unit,2013,Lake,10,30,2013-11-10T18:30:00Z,,,,38.882214,-122.567525,285,2013-11-08T13:42:00Z,,1,2013-11-10T18:30:00Z,3
92,CAL FIRE Butte Unit,2013,Butte,4,4,2013-08-04T14:45:00Z,,,2,39.6612,-121.50354,80,2013-08-01T16:01:00Z,,,2013-08-04T14:45:00Z,3
91,CAL FIRE Madera-Mariposa-Merced Unit,2013,Madera,6,24,2013-05-20T19:10:00Z,,2,,37.1927,-119.7917,,2013-05-19T15:07:00Z,,1,2013-05-20T19:10:00Z,2
80,CAL FIRE Butte Unit,2013,Butte,2,10,2013-09-01T18:00:00Z,,,1,39.731878,-121.713938,35,2013-08-31T17:23:00Z,,,2013-09-01T18:00:00Z,
75,CAL FIRE Madera-Mariposa-Merced Unit,2013,Madera,15,13,2013-06-14T16:30:00Z,,,,37.169379,-119.75636,221,2013-06-12T16:40:00Z,,,2013-06-14T16:30:00Z,13
75,"USFS San Bernardino National Forest, CAL FIRE San Bernardino Unit",2013,San Bernardino,13,21,2013-05-15T08:15:00Z,,,1,34.1834,-117.4408,292,2013-05-13T13:30:00Z,,1,2013-05-15T08:15:00Z,13
70,CAL FIRE Sonoma-Lake-Napa Unit,2013,Lake,2,10,2013-08-18T18:30:00Z,,,,39.013682,-122.491894,,2013-08-16T17:57:00Z,,,2013-08-18T18:30:00Z,5
51,CAL FIRE San Luis Obispo Unit,2013,San Luis Obispo,5,15,2013-11-09T17:00:00Z,,2,,35.457978,-120.751555,219,2013-11-08T10:30:00Z,,,2013-11-09T17:00:00Z,
46,CAL FIRE Tuolumne-Calaveras Unit,2013,Calaveras,18,30,2013-08-19T07:10:00Z,,18,2,38.06231,-120.45233,169,2013-08-17T10:11:00Z,,,2013-08-19T07:10:00Z,18
32416,CAL FIRE / USFS - Lassen National Forest,2014,Shasta,1,8,2014-08-25T10:00:00Z,,,11,40.72,-121.562,78,2014-07-31T18:04:00Z,,21,2014-08-25T10:00:00Z,4
13153,CAL FIRE Lassen-Modoc Unit,2014,Modoc,7,20,2014-08-13T07:00:00Z,,2,7,41.1336,-121.2144,297,2014-07-30T19:01:00Z,,6,2014-08-13T07:00:00Z,4
4240,CAL FIRE Amador-El Dorado Unit,2014,Amador,1,3,2014-08-02T19:15:00Z,,,2,38.5691,-120.7819,40,2014-07-25T16:34:00Z,,67,2019-11-12T10:27:44.36Z,1
4240,CAL FIRE Amador-El Dorado Unit,2014,El Dorado,1,3,2014-08-02T19:15:00Z,,,2,38.5691,-120.7819,40,2014-07-25T16:34:00Z,,67,2019-11-12T10:27:44.36Z,1
2143,CAL FIRE San Bernardino / USFS / Rancho Cucamonga Fire,2014,San Bernardino,22,25,2014-05-05T17:30:00Z,,,3,34.169346,-117.547374,583,2014-04-30T08:00:00Z,1,0,2014-05-05T17:30:00Z,8
